dimension,oss_score,ceisa_score,golden_score,delta_vs_oss,delta_vs_ceisa
Completeness,100.0,100.0,100.0,0.0,0.0
Validity,99.17272727272727,95.93611293021901,98.4503264609466,-0.7224008117806733,2.514213530727588
Uniqueness,82.72727272727273,100.0,100.0,17.272727272727266,0.0
Consistency,100.0,94.76096922069416,88.98634553385169,-11.01365446614831,-5.7746236868424745
Timeliness,18.29090909090909,35.12333551626283,32.81813009671914,14.527221005810048,-2.3052054195436895
Overall,80.03818181818183,85.1640835334352,84.05096041830349,4.012778600121663,-1.1131231151317138
